id,username,first_name,last_name,email,password,is_staff,is_active,is_superuser,last_login,date_joined
1,admin,,,admin@gmail.com,pbkdf2_sha256$10000$QYR9LlpxTQur$kmDv5heN4IVfC+eAbnskTsZn0iF7OVMvFENAI/TM4k0=,1,1,1,"2013-01-17 21:33:52","2012-12-08 07:16:26"
2,madhu,maathangi,kumar,abc@gmail.com,pbkdf2_sha256$10000$AUyTcGkJ14IB$zMuLOG7VoaXuxA5ghSysTi9YrjwS4XTASKgEpNwFCu0=,0,1,0,"2012-12-13 20:09:52","2012-12-09 07:08:34"
3,root,root,root,root@root.com,pbkdf2_sha256$10000$QsGSGCAEDf5C$mSDGiUwd+uW+wh8TXMiiwSZvd7LTQvTJ6HlumpT7KvQ=,0,1,0,"2012-12-09 07:29:24","2012-12-09 07:29:24"
4,madhu123,madhu,kumar,madhu123@gmail.com,pbkdf2_sha256$10000$x4y8TKRifo13$rD220qIvoaoqlktuEekUlu391FnILBeGn0phovqokdI=,0,1,0,"2012-12-09 07:35:54","2012-12-09 07:35:54"
5,madhu1234,madhu,kumar,sadsd@gamdkof.com,pbkdf2_sha256$10000$KR1mqfvL8kU5$eEwWfVwZVJcKPOxPD5v2ghbVMMGIUZku+9HZEF9bq9Y=,0,1,0,"2012-12-09 09:09:23","2012-12-09 09:09:23"
6,erw,madhu,kumar,sadsa@gmail.com,pbkdf2_sha256$10000$tSHR5djvQDzb$7C46HMFFIyOTr83+WhHrugcIWgQlz18OkbwF8iYPlCs=,0,1,0,"2012-12-09 09:20:48","2012-12-09 09:20:48"
7,sdf,madhu,kumar,sadasd@gamdkof.com,pbkdf2_sha256$10000$Ysxfjv2lvSph$4j5jBEPj6oNOR5rXkm4ZDg/RXO/PMcP1F6R8xY66OXY=,0,1,0,"2012-12-09 09:27:50","2012-12-09 09:27:50"
8,newuser,new,user,newuser@gmail.com,pbkdf2_sha256$10000$sZ8xMEuB1Ymd$+dlqP66bauZ7GadimAp6y+Job7uTls6kxXfuz20mm6w=,0,1,0,"2012-12-09 09:31:21","2012-12-09 09:31:21"
9,newuser1,newuser,user,newuser1@gmail.com,pbkdf2_sha256$10000$OTOzQK4qDoJa$uoe0vLMMykYwYNU5LF156dNT5ZjOh8MLIadyHPi8yXs=,0,1,0,"2012-12-09 09:34:37","2012-12-09 09:34:37"
10,newuser12,newuser1,newuser12,newuser123@gmail.com,pbkdf2_sha256$10000$s2zyXer81G76$7pusyJEpwvSNquY7xFDEolFLaqY5iQt+djMLi4HFufw=,0,1,0,"2012-12-09 09:38:59","2012-12-09 09:38:59"
11,newuser123,newuser12,newuser123,newuser@gmail.com,pbkdf2_sha256$10000$UWuyCr3a3Hvj$OaT3BXuXASrVMZanCTjolnAoK1UKbTUnQmjpmyS4NQI=,0,1,0,"2012-12-09 09:40:19","2012-12-09 09:40:19"
12,newuser1234,newuser123,newuser1235,newuser@1238.com,pbkdf2_sha256$10000$bCe1rpF7aBT9$kev2EAsMS6bqIhRitLv7WRk01ZfEnJeV2LW++aslIbA=,0,1,0,"2012-12-09 09:58:35","2012-12-09 09:58:35"
13,harish111,harish1111,babu1111,harish.babu@gmail.com,pbkdf2_sha256$10000$1yfzgFba9o1R$HxZzfg5VZDMM4J1deZqmcVi0bsTc902M/chtVu03wTY=,0,1,0,"2013-01-17 21:33:15","2012-12-09 10:02:46"
14,harish122,harish122,harish122,harish122@gmail.com,pbkdf2_sha256$10000$oWh4qgIOcCl5$5pR6nVGXWkzUuMw+KdWvR7sPW2SUmOj2i4rFaceJQOY=,0,1,0,"2012-12-09 19:10:20","2012-12-09 19:10:20"
15,harish121,harish121,babu121,harish121@gmail.com,pbkdf2_sha256$10000$lCkTDSZQrO3c$KAhW4euIovw544Kc117iKKcK9sBGD1Um0hB3JJ+T3rI=,0,1,0,"2012-12-10 08:37:11","2012-12-09 19:12:53"
16,harish222,harish222,babu222,harish222@gmail.com,pbkdf2_sha256$10000$p5iOpg8fRm4L$G0A6fXubbG/FU04VbHF3iEtDcfnrGEc2nuAgfmf1VEY=,0,1,0,"2012-12-09 19:31:58","2012-12-09 19:31:58"
17,harish999,harish999,babu999,harish999@gmail.com,pbkdf2_sha256$10000$cHd6zmHu3qVD$fWuautWfvtRpQepGcNTuPoMdBouW2AzVyN2bfWSckPQ=,0,1,0,"2012-12-09 19:40:07","2012-12-09 19:40:07"
18,raajks2489,,,,pbkdf2_sha256$10000$Qmn9uAT9HiwA$f4psowR0/3xP4Wl8OHJVijXwpBdS6+5eL9a9VYFqkMQ=,0,1,0,"2012-12-10 07:10:17","2012-12-10 07:10:17"
19,hharishh1988,,,,pbkdf2_sha256$10000$FYzvKfPltW2I$hyxmob/EkhDVmk5qQC6ON2Zb1WfjlHTA9Q0AWqtZ84A=,1,1,0,"2013-01-17 21:45:37","2012-12-10 07:12:15"
20,sindhu,Sindhu,Manjari,manjaripalanisamy@dubakoor.com,pbkdf2_sha256$10000$bQ3B6wGRu20D$u/GCb5Q6CeMdD8oAGBCCdbCG8tuKFBMm8WsIRWGnDa4=,1,1,0,"2012-12-11 00:33:54","2012-12-11 00:33:54"
21,balaji,Balaji,Raghavachari,bakaji@gmail.com,pbkdf2_sha256$10000$loxtYS2hIK97$+zxHAx0r8QxjYocpsIL+PBX2SCCjlY1yAcpNZgjvKT0=,0,1,0,"2012-12-13 20:21:25","2012-12-13 20:18:20"
